                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.59936,                0.31924,                0.94134,                0.99887,                0.99923,                  0.995,                0.93358,                 0.4316,                0.17974,                0.86282,             0.00018406,             0.00018406,             0.00018406
                     90,                0.59108,                0.31254,                0.94019,                0.99871,                0.99925,                  0.995,                0.93478,                0.42844,                0.17883,                0.86133,             0.00016991,             0.00016991,             0.00016991
                     91,                0.49768,                0.21374,                0.88174,                0.99877,                0.99923,                  0.995,                0.93198,                0.43135,                0.18367,                0.86123,             0.00015576,             0.00015576,             0.00015576
                     92,                0.47929,                0.20797,                0.87668,                0.99871,                0.99931,                  0.995,                0.93321,                0.43388,                0.18253,                0.86178,             0.00014161,             0.00014161,             0.00014161
                     93,                0.47187,                0.20253,                 0.8765,                0.99867,                0.99934,                  0.995,                0.93526,                0.42134,                0.17801,                0.85618,             0.00012747,             0.00012747,             0.00012747
                     94,                 0.4748,                 0.2029,                0.88199,                0.99879,                0.99928,                  0.995,                0.93904,                 0.4177,                0.17697,                0.85644,             0.00011332,             0.00011332,             0.00011332
                     95,                0.47006,                0.20341,                0.87811,                0.99877,                0.99925,                  0.995,                 0.9401,                0.40937,                0.17301,                0.85355,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.45437,                0.19845,                0.86802,                0.99916,                0.99926,                  0.995,                0.94159,                0.40635,                0.17214,                0.85173,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.45917,                0.19568,                0.86864,                0.99951,                0.99928,                  0.995,                0.94382,                0.39816,                0.17086,                0.84944,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.44967,                0.19525,                0.87714,                0.99891,                0.99928,                  0.995,                0.94617,                0.39299,                0.16798,                0.84688,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.45422,                0.19444,                0.87036,                0.99891,                0.99933,                  0.995,                0.94646,                0.39282,                0.16801,                0.84762,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.44053,                0.19148,                0.86429,                0.99936,                0.99937,                  0.995,                0.94717,                0.38995,                0.16676,                0.84665,             2.8437e-05,             2.8437e-05,             2.8437e-05
